08:53:33.904 -> Time[s], T_A[degC], T_B[degC], T_C[degC], T_D[degC]
10:01:08.400 -> 18.00, 43.63, 17.19, 47.06, 
10:01:10.493 -> 18.00, 43.63, 17.19, 47.00, 
10:01:12.562 -> 18.00, 43.63, 17.19, 47.06, 
10:01:14.657 -> 18.00, 43.63, 17.25, 47.06, 
10:01:16.741 -> 18.00, 43.56, 17.25, 47.00, 
10:01:18.819 -> 18.00, 43.56, 17.25, 47.00, 
10:01:20.910 -> 18.50, 43.56, 17.31, 47.00, 
10:01:23.008 -> 18.50, 43.56, 17.31, 46.94, 
10:01:25.048 -> 18.50, 43.56, 17.31, 47.00, 
10:01:27.169 -> 18.50, 43.56, 17.37, 47.00, 
10:01:29.214 -> 18.50, 43.56, 17.37, 47.06, 
10:01:31.295 -> 18.50, 43.56, 17.37, 47.06, 
10:01:33.367 -> 18.50, 43.56, 17.44, 47.06, 
10:01:35.456 -> 18.50, 43.56, 17.44, 47.06, 
10:01:37.533 -> 18.50, 43.56, 17.50, 47.06, 
10:01:39.616 -> 18.50, 43.56, 17.50, 47.13, 
10:01:41.710 -> 18.50, 43.56, 17.50, 47.13, 
10:01:43.810 -> 18.50, 43.56, 17.56, 47.13, 
10:01:45.879 -> 18.50, 43.56, 17.56, 47.13, 
10:01:47.960 -> 18.50, 43.56, 17.56, 47.13, 
10:01:50.050 -> 18.50, 43.56, 17.62, 47.13, 
10:01:52.093 -> 18.50, 43.56, 17.69, 47.13, 
10:01:54.175 -> 18.50, 43.56, 17.69, 47.13, 
10:01:56.256 -> 18.50, 43.56, 17.69, 47.13, 
10:01:58.372 -> 18.50, 43.56, 17.69, 47.13, 
10:02:00.459 -> 18.50, 43.63, 17.75, 47.13, 
10:02:02.529 -> 18.50, 43.63, 17.75, 47.13, 
10:02:04.609 -> 18.50, 43.63, 17.75, 47.13, 
10:02:06.660 -> 18.50, 43.63, 17.81, 47.13, 
10:02:08.785 -> 19.00, 43.63, 17.81, 47.13, 
10:02:10.831 -> 19.00, 43.63, 17.81, 47.13, 
10:02:12.921 -> 19.00, 43.63, 17.87, 47.13, 
