07:22:54.298 -> Time[s],T_wall[degC], RH_wall[%], T_A[degC], T_B[degC], T_C[degC], T_D[degC] 
07:28:30.672 -> 67.53, 25.10, 25.00, 24.75, 25.12, 24.94, 
07:28:33.541 -> 67.52, 25.08, 25.00, 24.75, 25.06, 24.94, 
07:28:36.367 -> 67.53, 25.10, 25.00, 24.75, 25.06, 24.94, 
07:28:39.223 -> 67.52, 25.07, 25.00, 24.75, 25.12, 24.94, 
07:28:42.035 -> 67.56, 25.11, 25.00, 24.75, 25.06, 24.94, 
07:28:44.941 -> 67.54, 25.08, 25.00, 24.75, 25.06, 24.94, 
07:28:47.749 -> 67.52, 25.08, 25.00, 24.75, 25.06, 24.94, 
07:28:50.611 -> 67.52, 25.08, 25.00, 24.75, 25.12, 24.94, 
07:28:53.471 -> 67.52, 25.08, 25.00, 24.75, 25.06, 24.94, 
07:28:56.338 -> 67.52, 25.08, 25.00, 24.75, 25.06, 24.94, 
07:28:59.208 -> 67.53, 25.10, 25.00, 24.75, 25.06, 24.94, 
07:29:02.014 -> 67.52, 25.08, 25.00, 24.75, 25.06, 24.94, 
07:29:04.878 -> 67.53, 25.10, 25.00, 24.75, 25.06, 24.94, 
07:29:07.739 -> 67.52, 25.08, 25.00, 24.75, 25.06, 24.94, 
07:29:10.555 -> 67.53, 25.10, 25.00, 24.75, 25.06, 24.94, 
07:29:13.398 -> 67.52, 25.07, 25.00, 24.75, 25.06, 24.94, 
07:29:16.264 -> 67.54, 25.08, 25.00, 24.75, 25.06, 24.94, 
07:29:19.119 -> 67.52, 25.08, 25.00, 24.75, 25.06, 24.94, 
07:29:21.978 -> 67.52, 25.07, 25.00, 24.75, 25.06, 24.94, 
07:29:24.802 -> 67.56, 25.11, 25.00, 24.75, 25.06, 24.94, 
07:29:27.678 -> 67.52, 25.07, 25.00, 24.75, 25.06, 24.94, 
07:29:30.485 -> 67.56, 25.10, 25.00, 24.75, 25.06, 25.00, 
07:29:33.356 -> 67.52, 25.08, 25.00, 24.75, 25.06, 24.94, 
07:29:36.215 -> 67.53, 25.10, 25.00, 24.75, 25.06, 24.94, 
07:29:39.060 -> 67.52, 25.07, 25.00, 24.75, 25.06, 24.94, 
07:29:41.894 -> 67.56, 25.10, 25.00, 24.69, 25.06, 24.94, 
07:29:44.751 -> 67.52, 25.08, 25.00, 24.75, 25.06, 24.94, 
07:29:47.609 -> 67.53, 25.11, 25.00, 24.75, 25.06, 24.94, 
07:29:50.470 -> 67.52, 25.08, 25.00, 24.75, 25.06, 24.94, 
07:29:53.332 -> 67.52, 25.08, 25.00, 24.75, 25.06, 24.94, 
07:29:56.189 -> 67.54, 25.07, 25.00, 24.75, 25.06, 24.94, 
07:29:59.003 -> 67.54, 25.08, 25.00, 24.75, 25.06, 24.94, 
07:30:01.851 -> 67.52, 25.07, 25.00, 24.75, 25.06, 24.94, 
07:30:04.704 -> 67.54, 25.08, 25.00, 24.75, 25.06, 24.94, 
07:30:07.587 -> 67.53, 25.10, 25.00, 24.75, 25.06, 24.94, 
07:30:10.435 -> 67.52, 25.08, 25.00, 24.75, 25.06, 24.94, 
07:30:13.249 -> 67.53, 25.10, 25.00, 24.75, 25.06, 24.94, 
07:30:16.103 -> 67.56, 25.10, 25.00, 24.75, 25.06, 24.94, 
07:30:18.988 -> 67.53, 25.11, 25.00, 24.75, 25.06, 24.94, 
07:30:21.814 -> 67.53, 25.11, 25.00, 24.75, 25.06, 24.94, 
07:30:24.681 -> 67.53, 25.11, 25.00, 24.75, 25.06, 24.94, 
07:30:27.490 -> 67.56, 25.10, 25.00, 24.75, 25.06, 24.94, 
07:30:30.383 -> 67.53, 25.10, 25.00, 24.75, 25.06, 24.94, 
07:30:33.195 -> 67.56, 25.10, 25.00, 24.75, 25.06, 24.94, 
07:30:36.056 -> 67.53, 25.10, 25.00, 24.75, 25.06, 24.94, 
07:30:38.924 -> 67.53, 25.11, 25.00, 24.75, 25.06, 24.94, 
07:30:41.740 -> 67.53, 25.11, 25.00, 24.75, 25.06, 24.94, 
07:30:44.599 -> 67.53, 25.12, 25.00, 24.75, 25.06, 24.94, 
07:30:47.465 -> 67.54, 25.17, 25.00, 24.75, 25.06, 24.94, 
07:30:50.312 -> 67.53, 25.15, 25.00, 24.75, 25.06, 24.94, 
07:30:53.171 -> 67.53, 25.12, 25.00, 24.75, 25.06, 24.94, 
07:30:55.993 -> 67.53, 25.10, 25.00, 24.75, 25.06, 24.94, 
07:30:58.850 -> 67.53, 25.10, 25.00, 24.75, 25.06, 24.94, 
07:31:01.703 -> 67.53, 25.12, 25.00, 24.75, 25.06, 24.94, 
07:31:04.557 -> 67.53, 25.10, 25.00, 24.75, 25.06, 24.94, 
07:31:07.415 -> 67.53, 25.11, 25.00, 24.75, 25.06, 24.94, 
07:31:10.279 -> 67.56, 25.10, 25.00, 24.75, 25.06, 24.94, 
07:31:13.100 -> 67.53, 25.11, 25.00, 24.75, 25.00, 24.94, 
07:31:15.965 -> 67.53, 25.10, 25.00, 24.75, 25.06, 24.94, 
07:31:18.826 -> 67.53, 25.10, 25.00, 24.75, 25.00, 24.94, 
07:31:21.660 -> 67.53, 25.10, 25.00, 24.75, 25.00, 24.94, 
07:31:24.512 -> 67.53, 25.10, 25.00, 24.69, 25.06, 24.94, 
07:31:27.381 -> 67.53, 25.11, 25.00, 24.69, 25.00, 24.94, 
07:31:30.189 -> 67.56, 25.11, 25.00, 24.75, 25.00, 24.94, 
07:31:33.047 -> 67.56, 25.11, 25.00, 24.75, 25.06, 24.94, 
07:31:35.930 -> 67.56, 25.10, 25.00, 24.75, 25.06, 24.94, 
07:31:38.757 -> 67.52, 25.08, 25.00, 24.75, 25.00, 24.94, 
07:31:41.605 -> 67.53, 25.10, 25.00, 24.69, 25.00, 24.94, 
07:31:44.457 -> 67.54, 25.08, 25.00, 24.75, 25.06, 24.94, 
07:31:47.289 -> 67.53, 25.11, 25.00, 24.75, 25.06, 24.94, 
07:31:50.163 -> 67.54, 25.08, 25.00, 24.75, 25.00, 24.94, 
07:31:53.021 -> 67.52, 25.08, 25.00, 24.75, 25.06, 24.94, 
07:31:55.882 -> 67.52, 25.08, 25.00, 24.75, 25.06, 24.94, 
07:31:58.705 -> 67.54, 25.08, 25.00, 24.69, 25.06, 24.94, 
07:32:01.580 -> 67.54, 25.08, 25.00, 24.75, 25.00, 24.94, 
07:32:04.417 -> 67.54, 25.08, 25.00, 24.75, 25.06, 24.94, 
07:32:07.259 -> 67.53, 25.10, 25.00, 24.69, 25.00, 24.94, 
07:32:10.091 -> 67.52, 25.07, 25.00, 24.75, 25.00, 24.94, 
07:32:12.973 -> 67.56, 25.10, 25.00, 24.69, 25.00, 24.94, 
07:32:15.812 -> 67.54, 25.07, 25.00, 24.69, 25.00, 24.94, 
07:32:18.674 -> 67.56, 25.10, 25.00, 24.75, 25.06, 24.94, 
07:32:21.519 -> 67.52, 25.08, 25.00, 24.75, 25.00, 24.94, 
07:32:24.354 -> 67.56, 25.10, 25.00, 24.75, 25.00, 24.94, 
07:32:27.206 -> 67.54, 25.08, 25.00, 24.75, 25.00, 24.94, 
07:32:30.077 -> 67.53, 25.10, 25.00, 24.75, 25.00, 24.94, 
07:32:32.918 -> 67.52, 25.08, 25.00, 24.69, 25.00, 24.94, 
07:32:35.747 -> 67.53, 25.10, 25.00, 24.75, 25.00, 24.94, 
07:32:38.632 -> 67.54, 25.08, 25.00, 24.75, 25.00, 24.94, 
07:32:41.475 -> 67.56, 25.10, 25.00, 24.69, 25.00, 24.94, 
07:32:44.348 -> 67.54, 25.08, 25.00, 24.75, 25.00, 24.87, 
07:32:47.177 -> 67.53, 25.10, 25.00, 24.75, 25.00, 24.94, 
07:32:50.029 -> 67.54, 25.08, 25.00, 24.69, 25.00, 24.94, 
07:32:52.834 -> 67.53, 25.11, 25.00, 24.69, 25.00, 24.94, 
07:32:55.692 -> 67.52, 25.08, 25.00, 24.75, 25.00, 24.94, 
07:32:58.569 -> 67.56, 25.10, 25.00, 24.69, 25.00, 24.94, 
07:33:01.399 -> 67.56, 25.10, 25.00, 24.69, 25.00, 24.94, 
07:33:04.280 -> 67.53, 25.10, 25.00, 24.75, 25.00, 24.94, 
07:33:07.123 -> 67.53, 25.10, 25.00, 24.75, 25.00, 24.87, 
07:33:09.949 -> 67.52, 25.08, 25.00, 24.69, 24.94, 24.87, 
07:33:12.794 -> 67.53, 25.11, 25.00, 24.69, 25.00, 24.87, 
07:33:15.671 -> 67.53, 25.11, 25.00, 24.69, 25.00, 24.87, 
07:33:18.523 -> 67.53, 25.11, 25.00, 24.75, 25.00, 24.94, 
07:33:21.363 -> 67.53, 25.11, 25.00, 24.75, 25.00, 24.87, 
07:33:24.219 -> 67.53, 25.11, 25.00, 24.75, 25.00, 24.94, 
07:33:27.080 -> 67.51, 25.11, 25.00, 24.69, 25.00, 24.94, 
07:33:29.906 -> 67.53, 25.12, 25.00, 24.69, 25.00, 24.94, 
07:33:32.761 -> 67.53, 25.11, 25.00, 24.69, 25.00, 24.87, 
07:33:35.611 -> 67.51, 25.14, 25.00, 24.69, 25.00, 24.87, 
07:33:38.470 -> 67.51, 25.12, 25.00, 24.75, 25.00, 24.87, 
07:33:41.321 -> 67.50, 25.19, 25.00, 24.69, 25.00, 24.94, 
07:33:44.174 -> 67.48, 25.48, 25.00, 24.75, 25.00, 24.94, 
07:33:47.020 -> 67.10, 26.47, 25.00, 24.69, 25.00, 24.87, 
07:33:49.836 -> 67.45, 25.55, 25.00, 24.69, 25.00, 24.94, 
07:33:52.688 -> 67.53, 25.15, 25.00, 24.69, 24.94, 24.87, 
07:33:55.578 -> 67.51, 25.15, 25.00, 24.75, 24.94, 24.94, 
07:33:58.398 -> 67.53, 25.14, 25.00, 24.69, 25.00, 24.87, 
07:34:01.250 -> 67.51, 25.14, 25.00, 24.69, 24.94, 24.87, 
07:34:04.118 -> 67.51, 25.14, 25.00, 24.69, 25.00, 24.87, 
07:34:06.967 -> 67.51, 25.14, 25.00, 24.69, 24.94, 24.94, 
07:34:09.826 -> 67.51, 25.15, 25.00, 24.69, 25.00, 24.87, 
