08:53:33.904 -> Time[s], T_A[degC], T_B[degC], T_C[degC], T_D[degC]
11:11:48.877 -> 29.00, 44.56, 27.44, 47.31, 
11:11:50.935 -> 29.00, 44.56, 27.44, 47.31, 
11:11:53.006 -> 29.00, 44.56, 27.44, 47.31, 
11:11:55.124 -> 29.00, 44.56, 27.44, 47.38, 
11:11:57.196 -> 29.00, 44.56, 27.44, 47.38, 
11:11:59.251 -> 29.00, 44.56, 27.37, 47.31, 
11:12:01.324 -> 29.00, 44.56, 27.37, 47.31, 
11:12:03.410 -> 29.00, 44.56, 27.37, 47.31, 
11:12:05.490 -> 29.00, 44.56, 27.37, 47.31, 
11:12:07.553 -> 29.00, 44.56, 27.37, 47.25, 
11:12:09.645 -> 29.00, 44.56, 27.37, 47.25, 
11:12:11.741 -> 29.00, 44.56, 27.37, 47.25, 
11:12:13.792 -> 29.00, 44.56, 27.31, 47.31, 
11:12:15.905 -> 29.00, 44.56, 27.31, 47.31, 
11:12:17.947 -> 29.00, 44.56, 27.31, 47.31, 
11:12:20.027 -> 29.00, 44.56, 27.31, 47.31, 
11:12:22.116 -> 29.00, 44.56, 27.31, 47.31, 
11:12:24.226 -> 29.00, 44.56, 27.31, 47.31, 
11:12:26.273 -> 29.00, 44.56, 27.31, 47.31, 
11:12:28.365 -> 29.00, 44.56, 27.25, 47.31, 
11:12:30.460 -> 29.00, 44.56, 27.31, 47.31, 
11:12:32.509 -> 29.00, 44.56, 27.25, 47.25, 
11:12:34.597 -> 29.00, 44.56, 27.25, 47.25, 
11:12:36.702 -> 29.00, 44.56, 27.25, 47.25, 
11:12:38.783 -> 29.00, 44.50, 27.25, 47.25, 
11:12:40.850 -> 29.00, 44.50, 27.25, 47.19, 
11:12:42.942 -> 29.00, 44.50, 27.25, 47.19, 
11:12:45.005 -> 29.00, 44.50, 27.19, 47.25, 
11:12:47.102 -> 29.00, 44.50, 27.19, 47.25, 
11:12:49.149 -> 28.50, 44.50, 27.19, 47.19, 
11:12:51.252 -> 28.50, 44.50, 27.19, 47.25, 
11:12:53.295 -> 28.50, 44.50, 27.19, 47.19, 
11:12:55.404 -> 28.50, 44.44, 27.19, 47.25, 
11:12:57.495 -> 29.00, 44.50, 27.19, 47.25, 
11:12:59.556 -> 28.50, 44.50, 27.19, 47.25, 
11:13:01.639 -> 28.50, 44.50, 27.19, 47.19, 
11:13:03.700 -> 28.50, 44.50, 27.19, 47.25, 
11:13:05.806 -> 28.50, 44.50, 27.19, 47.25, 
11:13:07.860 -> 28.50, 44.50, 27.19, 47.19, 
11:13:09.970 -> 28.50, 44.50, 27.12, 47.25, 
11:13:12.023 -> 28.50, 44.50, 27.12, 47.25, 
11:13:14.106 -> 28.50, 44.56, 27.12, 47.31, 
11:13:16.205 -> 28.50, 44.56, 27.12, 47.31, 
11:13:18.253 -> 28.50, 44.56, 27.12, 47.38, 
11:13:20.360 -> 28.50, 44.63, 27.12, 47.38, 
11:13:22.454 -> 28.50, 44.63, 27.12, 47.38, 
11:13:24.506 -> 28.50, 44.69, 27.06, 47.44, 
11:13:26.598 -> 28.50, 44.69, 27.06, 47.44, 
11:13:28.692 -> 28.50, 44.69, 27.06, 47.44, 
11:13:30.772 -> 28.50, 44.69, 27.06, 47.50, 
11:13:32.822 -> 28.50, 44.69, 27.06, 47.50, 
11:13:34.920 -> 28.50, 44.75, 27.06, 47.50, 
11:13:36.995 -> 28.50, 44.75, 27.06, 47.50, 
11:13:39.089 -> 28.50, 44.75, 27.00, 47.50, 
11:13:41.155 -> 28.50, 44.75, 27.00, 47.56, 
11:13:43.216 -> 28.50, 44.75, 27.00, 47.56, 
11:13:45.311 -> 28.50, 44.75, 27.00, 47.50, 
11:13:47.403 -> 28.50, 44.75, 27.00, 47.50, 
11:13:49.453 -> 28.50, 44.69, 27.00, 47.50, 
11:13:51.519 -> 28.50, 44.75, 26.94, 47.50, 
11:13:53.626 -> 28.50, 44.69, 26.94, 47.50, 
11:13:55.720 -> 28.50, 44.69, 26.94, 47.50, 
11:13:57.778 -> 28.50, 44.69, 26.94, 47.50, 
11:13:59.882 -> 28.50, 44.69, 26.94, 47.50, 
11:14:01.959 -> 28.50, 44.69, 26.94, 47.50, 
11:14:04.011 -> 28.50, 44.69, 26.94, 47.44, 
11:14:06.107 -> 28.50, 44.69, 26.94, 47.44, 
11:14:08.195 -> 28.50, 44.63, 26.94, 47.44, 
11:14:10.244 -> 28.50, 44.63, 26.87, 47.44, 
11:14:12.350 -> 28.50, 44.69, 26.87, 47.44, 
11:14:14.402 -> 28.50, 44.63, 26.87, 47.44, 
11:14:16.478 -> 28.50, 44.63, 26.87, 47.44, 
