08:53:33.904 -> Time[s], T_A[degC], T_B[degC], T_C[degC], T_D[degC]
09:04:12.011 -> 5.00, 31.50, 3.50, 32.25, 
09:04:14.116 -> 5.00, 31.50, 3.50, 32.31, 
09:04:16.200 -> 5.00, 31.50, 3.50, 32.31, 
09:04:18.269 -> 5.00, 31.50, 3.44, 32.25, 
09:04:20.371 -> 5.00, 31.50, 3.44, 32.31, 
09:04:22.455 -> 5.00, 31.50, 3.38, 32.31, 
09:04:24.543 -> 5.00, 31.50, 3.38, 32.31, 
09:04:26.625 -> 4.50, 31.50, 3.38, 32.38, 
09:04:28.722 -> 5.00, 31.50, 3.44, 32.31, 
09:04:30.802 -> 5.00, 31.50, 3.44, 32.31, 
09:04:32.890 -> 4.50, 31.50, 3.44, 32.31, 
09:04:34.987 -> 5.00, 31.50, 3.44, 32.38, 
09:04:37.044 -> 4.50, 31.50, 3.44, 32.38, 
09:04:39.154 -> 4.50, 31.50, 3.44, 32.44, 
09:04:41.242 -> 4.50, 31.50, 3.44, 32.44, 
09:04:43.326 -> 4.50, 31.50, 3.38, 32.44, 
09:04:45.389 -> 4.50, 31.50, 3.38, 32.50, 
09:04:47.479 -> 4.50, 31.50, 3.38, 32.50, 
09:04:49.562 -> 4.50, 31.50, 3.38, 32.50, 
09:04:51.634 -> 4.50, 31.50, 3.38, 32.50, 
09:04:53.732 -> 4.50, 31.50, 3.38, 32.44, 
09:04:55.840 -> 4.50, 31.50, 3.44, 32.44, 
09:04:57.900 -> 4.50, 31.50, 3.44, 32.44, 
09:05:00.021 -> 4.50, 31.50, 3.44, 32.44, 
09:05:02.105 -> 4.50, 31.50, 3.44, 32.44, 
09:05:04.172 -> 4.50, 31.50, 3.44, 32.44, 
09:05:06.254 -> 4.50, 31.50, 3.38, 32.44, 
09:05:08.340 -> 4.50, 31.50, 3.44, 32.44, 
09:05:10.441 -> 4.50, 31.50, 3.38, 32.38, 
09:05:12.534 -> 4.50, 31.50, 3.38, 32.38, 
09:05:14.602 -> 4.50, 31.50, 3.38, 32.38, 
09:05:16.697 -> 4.50, 31.50, 3.31, 32.38, 
09:05:18.779 -> 4.50, 31.50, 3.25, 32.38, 
09:05:20.850 -> 4.50, 31.50, 3.25, 32.38, 
09:05:22.930 -> 4.50, 31.50, 3.19, 32.38, 
09:05:25.030 -> 4.50, 31.50, 3.19, 32.44, 
09:05:27.113 -> 4.50, 31.50, 3.13, 32.44, 
09:05:29.197 -> 4.50, 31.50, 3.13, 32.44, 
09:05:31.284 -> 4.50, 31.56, 3.00, 32.50, 
09:05:33.406 -> 4.50, 31.56, 2.94, 32.50, 
09:05:35.466 -> 4.50, 31.56, 2.94, 32.50, 
09:05:37.547 -> 4.50, 31.56, 2.88, 32.56, 
09:05:39.650 -> 4.50, 31.62, 2.81, 32.56, 
09:05:41.718 -> 4.50, 31.62, 2.81, 32.56, 
09:05:43.820 -> 4.50, 31.62, 2.75, 32.56, 
09:05:45.908 -> 4.50, 31.62, 2.75, 32.56, 
09:05:47.989 -> 4.50, 31.62, 2.81, 32.56, 
09:05:50.076 -> 4.50, 31.62, 2.88, 32.56, 
09:05:52.161 -> 4.50, 31.62, 2.88, 32.56, 
09:05:54.242 -> 4.50, 31.62, 2.81, 32.56, 
09:05:56.327 -> 4.50, 31.62, 2.88, 32.50, 
09:05:58.426 -> 4.50, 31.56, 2.88, 32.50, 
09:06:00.494 -> 4.50, 31.56, 2.94, 32.50, 
09:06:02.573 -> 4.50, 31.62, 2.94, 32.50, 
09:06:04.690 -> 4.50, 31.62, 2.94, 32.50, 
09:06:06.770 -> 4.50, 31.56, 2.94, 32.50, 
09:06:08.851 -> 4.50, 31.56, 2.88, 32.50, 
09:06:10.957 -> 4.50, 31.56, 2.88, 32.50, 
09:06:13.011 -> 4.50, 31.56, 2.94, 32.50, 
09:06:15.083 -> 4.50, 31.56, 2.94, 32.50, 
09:06:17.197 -> 4.50, 31.56, 2.94, 32.50, 
09:06:19.264 -> 4.50, 31.56, 2.88, 32.56, 
09:06:21.350 -> 4.50, 31.56, 2.81, 32.56, 
09:06:23.455 -> 4.50, 31.56, 2.75, 32.56, 
09:06:25.533 -> 4.50, 31.56, 2.81, 32.50, 
09:06:27.613 -> 4.50, 31.56, 2.81, 32.50, 
09:06:29.726 -> 4.50, 31.56, 2.88, 32.50, 
09:06:31.788 -> 4.50, 31.56, 2.94, 32.50, 
09:06:33.888 -> 4.50, 31.56, 2.94, 32.50, 
09:06:35.967 -> 4.50, 31.50, 3.06, 32.50, 
09:06:38.060 -> 4.00, 31.50, 3.06, 32.50, 
09:06:40.122 -> 4.00, 31.50, 3.13, 32.50, 
09:06:42.243 -> 4.00, 31.50, 3.13, 32.50, 
09:06:44.294 -> 4.00, 31.50, 3.13, 32.50, 
09:06:46.395 -> 4.00, 31.50, 3.13, 32.50, 
09:06:48.495 -> 4.00, 31.50, 3.13, 32.50, 
09:06:50.578 -> 4.00, 31.50, 3.13, 32.50, 
09:06:52.663 -> 4.00, 31.50, 3.13, 32.50, 
09:06:54.732 -> 4.00, 31.50, 3.06, 32.50, 
09:06:56.812 -> 4.00, 31.50, 3.00, 32.50, 
09:06:58.932 -> 4.00, 31.50, 2.94, 32.50, 
09:07:01.000 -> 4.00, 31.50, 2.94, 32.50, 
09:07:03.088 -> 4.00, 31.50, 2.88, 32.50, 
09:07:05.170 -> 4.00, 31.50, 2.88, 32.50, 
09:07:07.285 -> 4.00, 31.50, 2.81, 32.56, 
09:07:09.352 -> 4.00, 31.50, 2.81, 32.56, 
09:07:11.442 -> 4.00, 31.50, 2.75, 32.50, 
09:07:13.514 -> 4.00, 31.50, 2.75, 32.50, 
09:07:15.606 -> 4.00, 31.50, 2.75, 32.50, 
09:07:17.690 -> 4.00, 31.50, 2.75, 32.44, 
09:07:19.771 -> 4.00, 31.50, 2.75, 32.50, 
09:07:21.849 -> 4.00, 31.50, 2.69, 32.50, 
09:07:23.961 -> 4.00, 31.50, 2.63, 32.50, 
09:07:26.045 -> 4.00, 31.50, 2.63, 32.50, 
09:07:28.110 -> 4.00, 31.50, 2.63, 32.44, 
09:07:30.210 -> 4.00, 31.50, 2.63, 32.44, 
09:07:32.293 -> 4.00, 31.50, 2.56, 32.44, 
