08:53:33.904 -> Time[s], T_A[degC], T_B[degC], T_C[degC], T_D[degC]
11:47:14.898 -> 1.50, 27.81, -0.69, 28.50, 
11:47:17.017 -> 1.50, 27.81, -0.69, 28.50, 
11:47:19.097 -> 1.50, 27.81, -0.69, 28.50, 
11:47:21.168 -> 1.50, 27.81, -0.69, 28.56, 
11:47:23.280 -> 1.50, 27.81, -0.75, 28.50, 
11:47:25.357 -> 1.50, 27.81, -0.75, 28.50, 
11:47:27.435 -> 1.50, 27.87, -0.75, 28.50, 
11:47:29.505 -> 1.50, 27.81, -0.69, 28.50, 
11:47:31.619 -> 1.00, 27.81, -0.69, 28.50, 
11:47:33.708 -> 1.00, 27.87, -0.69, 28.50, 
11:47:35.773 -> 1.00, 27.81, -0.69, 28.50, 
11:47:37.885 -> 1.00, 27.81, -0.69, 28.50, 
11:47:39.948 -> 1.00, 27.87, -0.69, 28.50, 
11:47:42.051 -> 1.00, 27.87, -0.69, 28.50, 
11:47:44.115 -> 1.00, 27.81, -0.69, 28.56, 
11:47:46.237 -> 1.00, 27.81, -0.69, 28.56, 
11:47:48.316 -> 1.00, 27.87, -0.69, 28.56, 
11:47:50.390 -> 1.00, 27.87, -0.69, 28.50, 
11:47:52.501 -> 1.00, 27.81, -0.69, 28.50, 
11:47:54.574 -> 1.00, 27.81, -0.69, 28.56, 
11:47:56.686 -> 1.00, 27.87, -0.69, 28.56, 
11:47:58.767 -> 1.00, 27.87, -0.69, 28.56, 
11:48:00.829 -> 1.00, 27.87, -0.69, 28.56, 
11:48:02.935 -> 1.00, 27.87, -0.69, 28.56, 
11:48:04.997 -> 1.00, 27.87, -0.69, 28.56, 
11:48:07.077 -> 1.00, 27.87, -0.69, 28.56, 
11:48:09.195 -> 1.00, 27.87, -0.69, 28.56, 
11:48:11.289 -> 1.00, 27.87, -0.69, 28.56, 
11:48:13.363 -> 1.00, 27.87, -0.69, 28.56, 
11:48:15.442 -> 1.50, 27.87, -0.69, 28.56, 
11:48:17.553 -> 1.50, 27.87, -0.69, 28.56, 
11:48:19.618 -> 1.50, 27.87, -0.69, 28.56, 
11:48:21.688 -> 1.50, 27.87, -0.69, 28.56, 
11:48:23.816 -> 1.50, 27.81, -0.69, 28.56, 
11:48:25.873 -> 1.50, 27.87, -0.69, 28.56, 
11:48:27.968 -> 1.50, 27.87, -0.63, 28.56, 
11:48:30.040 -> 1.50, 27.87, -0.63, 28.56, 
11:48:32.138 -> 1.50, 27.87, -0.69, 28.56, 
11:48:34.257 -> 1.50, 27.87, -0.63, 28.56, 
11:48:36.335 -> 1.50, 27.87, -0.69, 28.56, 
11:48:38.397 -> 1.50, 27.87, -0.69, 28.56, 
11:48:40.508 -> 1.50, 27.87, -0.69, 28.56, 
11:48:42.581 -> 1.50, 27.87, -0.75, 28.56, 
11:48:44.660 -> 1.50, 27.87, -0.75, 28.56, 
11:48:46.738 -> 1.50, 27.87, -0.75, 28.56, 
11:48:48.848 -> 1.50, 27.87, -0.75, 28.56, 
11:48:50.921 -> 1.50, 27.87, -0.75, 28.62, 
11:48:53.032 -> 1.50, 27.87, -0.81, 28.56, 
11:48:55.117 -> 1.50, 27.87, -0.81, 28.56, 
11:48:57.196 -> 1.50, 27.87, -0.81, 28.56, 
11:48:59.304 -> 1.50, 27.87, -0.75, 28.56, 
11:49:01.380 -> 1.50, 27.87, -0.75, 28.56, 
11:49:03.470 -> 1.50, 27.87, -0.75, 28.56, 
11:49:05.541 -> 1.50, 27.94, -0.75, 28.56, 
11:49:07.619 -> 1.50, 27.87, -0.75, 28.56, 
