10:15:37.380 ->  Time[s], T_A[degC], T_B[degC], T_C[degC], T_D[degC]
10:20:10.368 -> 3.50, 36.56, 2.31, 37.63, 
10:20:12.458 -> 3.50, 36.56, 2.31, 37.63, 
10:20:14.555 -> 3.50, 36.56, 2.31, 37.56, 
10:20:16.633 -> 3.50, 36.63, 2.31, 37.56, 
10:20:18.729 -> 3.50, 36.63, 2.38, 37.56, 
10:20:20.776 -> 3.50, 36.56, 2.31, 37.56, 
10:20:22.876 -> 3.50, 36.56, 2.38, 37.56, 
10:20:24.983 -> 3.50, 36.56, 2.31, 37.63, 
10:20:27.038 -> 3.50, 36.56, 2.38, 37.63, 
10:20:29.132 -> 3.50, 36.50, 2.31, 37.63, 
10:20:31.243 -> 3.50, 36.56, 2.31, 37.63, 
10:20:33.296 -> 3.50, 36.56, 2.31, 37.63, 
10:20:35.377 -> 3.50, 36.56, 2.25, 37.63, 
10:20:37.483 -> 3.50, 36.56, 2.25, 37.63, 
10:20:39.549 -> 3.50, 36.50, 2.25, 37.63, 
10:20:41.640 -> 3.50, 36.50, 2.31, 37.63, 
10:20:43.743 -> 3.50, 36.50, 2.31, 37.63, 
10:20:45.809 -> 3.50, 36.50, 2.31, 37.69, 
10:20:47.904 -> 3.50, 36.50, 2.31, 37.63, 
10:20:49.975 -> 3.50, 36.50, 2.31, 37.63, 
10:20:52.089 -> 3.50, 36.50, 2.31, 37.50, 
10:20:54.140 -> 3.50, 36.50, 2.31, 37.50, 
10:20:56.248 -> 3.50, 36.50, 2.31, 37.50, 
10:20:58.337 -> 3.50, 36.50, 2.38, 37.44, 
10:21:00.433 -> 3.50, 36.44, 2.38, 37.44, 
10:21:02.508 -> 3.50, 36.44, 2.44, 37.44, 
10:21:04.603 -> 3.50, 36.44, 2.50, 37.44, 
10:21:06.669 -> 3.50, 36.44, 2.56, 37.44, 
10:21:08.759 -> 3.50, 36.44, 2.50, 37.44, 
10:21:10.859 -> 3.50, 36.44, 2.44, 37.44, 
10:21:12.939 -> 3.50, 36.44, 2.38, 37.50, 
10:21:15.037 -> 3.50, 36.44, 2.31, 37.56, 
10:21:17.084 -> 3.50, 36.44, 2.25, 37.56, 
10:21:19.195 -> 3.50, 36.44, 2.19, 37.63, 
10:21:21.282 -> 3.50, 36.50, 2.19, 37.63, 
10:21:23.354 -> 3.50, 36.50, 2.19, 37.69, 
10:21:25.437 -> 3.50, 36.44, 2.19, 37.69, 
10:21:27.533 -> 3.50, 36.50, 2.19, 37.69, 
10:21:29.613 -> 3.50, 36.50, 2.19, 37.75, 
10:21:31.678 -> 3.50, 36.44, 2.25, 37.69, 
10:21:33.789 -> 3.50, 36.50, 2.25, 37.69, 
10:21:35.884 -> 3.50, 36.50, 2.25, 37.75, 
10:21:37.952 -> 3.50, 36.50, 2.25, 37.75, 
10:21:40.047 -> 3.50, 36.50, 2.25, 37.75, 
10:21:42.127 -> 3.50, 36.50, 2.19, 37.75, 
10:21:44.221 -> 3.50, 36.50, 2.19, 37.75, 
10:21:46.306 -> 3.50, 36.50, 2.19, 37.75, 
10:21:48.373 -> 3.50, 36.50, 2.19, 37.69, 
10:21:50.463 -> 3.50, 36.50, 2.19, 37.63, 
10:21:52.558 -> 3.50, 36.50, 2.25, 37.63, 
10:21:54.653 -> 3.50, 36.50, 2.25, 37.63, 
10:21:56.732 -> 3.50, 36.50, 2.25, 37.63, 
10:21:58.814 -> 4.00, 36.50, 2.25, 37.63, 
10:22:00.863 -> 3.50, 36.50, 2.25, 37.56, 
10:22:02.961 -> 3.50, 36.56, 2.25, 37.56, 
10:22:05.055 -> 3.50, 36.56, 2.25, 37.56, 
10:22:07.165 -> 3.50, 36.56, 2.25, 37.50, 
10:22:09.213 -> 3.50, 36.56, 2.19, 37.50, 
10:22:11.332 -> 3.50, 36.56, 2.13, 37.44, 
10:22:13.380 -> 3.50, 36.56, 2.13, 37.44, 
10:22:15.471 -> 3.50, 36.56, 2.13, 37.38, 
10:22:17.581 -> 3.50, 36.56, 2.06, 37.38, 
10:22:19.646 -> 3.50, 36.56, 2.06, 37.38, 
10:22:21.746 -> 3.50, 36.63, 2.06, 37.38, 
10:22:23.838 -> 3.50, 36.63, 2.00, 37.31, 
10:22:25.918 -> 3.50, 36.63, 2.00, 37.31, 
10:22:27.999 -> 3.50, 36.63, 2.00, 37.31, 
10:22:30.063 -> 3.50, 36.63, 2.06, 37.31, 
10:22:32.156 -> 3.50, 36.63, 2.13, 37.31, 
10:22:34.246 -> 3.50, 36.63, 2.13, 37.38, 
10:22:36.341 -> 3.50, 36.63, 2.13, 37.38, 
10:22:38.413 -> 3.50, 36.63, 2.13, 37.44, 
10:22:40.493 -> 3.50, 36.63, 2.13, 37.44, 
10:22:42.593 -> 3.50, 36.69, 2.06, 37.50, 
10:22:44.657 -> 3.50, 36.69, 2.06, 37.50, 
10:22:46.769 -> 3.50, 36.69, 2.06, 37.50, 
10:22:48.841 -> 3.00, 36.69, 2.00, 37.56, 
10:22:50.921 -> 3.00, 36.69, 2.00, 37.56, 
10:22:53.038 -> 3.00, 36.69, 1.94, 37.56, 
10:22:55.125 -> 3.00, 36.69, 1.88, 37.56, 
10:22:57.205 -> 3.00, 36.75, 1.81, 37.56, 
10:22:59.255 -> 3.00, 36.75, 1.81, 37.56, 
10:23:01.352 -> 3.00, 36.75, 1.75, 37.56, 
10:23:03.458 -> 3.00, 36.75, 1.75, 37.56, 
10:23:05.507 -> 3.00, 36.81, 1.69, 37.56, 
10:23:07.619 -> 3.00, 36.81, 1.69, 37.50, 
10:23:09.713 -> 3.00, 36.88, 1.69, 37.50, 
10:23:11.777 -> 3.00, 36.88, 1.63, 37.50, 
10:23:13.874 -> 3.00, 36.81, 1.63, 37.56, 
10:23:15.970 -> 2.50, 36.88, 1.56, 37.56, 
10:23:18.033 -> 2.50, 36.88, 1.56, 37.50, 
10:23:20.130 -> 2.50, 36.88, 1.50, 37.56, 
10:23:22.209 -> 2.50, 36.88, 1.56, 37.56, 
10:23:24.281 -> 2.50, 36.88, 1.50, 37.63, 
10:23:26.377 -> 2.50, 36.88, 1.50, 37.56, 
10:23:28.466 -> 2.50, 36.88, 1.44, 37.56, 
10:23:30.531 -> 2.50, 36.94, 1.37, 37.56, 
10:23:32.659 -> 2.50, 36.94, 1.44, 37.56, 
10:23:34.739 -> 2.50, 36.94, 1.44, 37.56, 
10:23:36.788 -> 2.50, 36.94, 1.37, 37.56, 
10:23:38.891 -> 2.00, 36.94, 1.37, 37.56, 
10:23:40.995 -> 2.00, 37.00, 1.31, 37.56, 
10:23:43.088 -> 2.00, 36.94, 1.25, 37.50, 
10:23:45.141 -> 2.00, 37.00, 1.31, 37.44, 
10:23:47.241 -> 2.00, 37.00, 1.31, 37.44, 
10:23:49.321 -> 2.00, 37.00, 1.31, 37.44, 
10:23:51.387 -> 2.00, 36.94, 1.37, 37.50, 
10:23:53.491 -> 2.00, 37.00, 1.37, 37.56, 
10:23:55.555 -> 2.00, 36.94, 1.37, 37.63, 
10:23:57.651 -> 2.00, 36.94, 1.37, 37.63, 
10:23:59.762 -> 2.00, 36.94, 1.31, 37.63, 
10:24:01.845 -> 2.00, 36.94, 1.31, 37.63, 
10:24:03.937 -> 2.00, 36.94, 1.31, 37.69, 
10:24:06.005 -> 2.00, 36.94, 1.31, 37.69, 
10:24:08.097 -> 2.00, 37.00, 1.31, 37.69, 
10:24:10.165 -> 2.00, 36.94, 1.37, 37.69, 
10:24:12.250 -> 2.00, 36.94, 1.37, 37.69, 
10:24:14.339 -> 2.00, 36.94, 1.44, 37.63, 
10:24:16.412 -> 2.00, 36.94, 1.44, 37.63, 
10:24:18.498 -> 2.00, 36.94, 1.44, 37.69, 
10:24:20.591 -> 2.00, 36.94, 1.44, 37.69, 
10:24:22.693 -> 2.00, 36.94, 1.37, 37.69, 
10:24:24.788 -> 2.00, 36.94, 1.31, 37.69, 
10:24:26.853 -> 2.00, 37.00, 1.31, 37.75, 
10:24:28.920 -> 2.00, 37.00, 1.25, 37.81, 
10:24:31.043 -> 2.00, 37.00, 1.19, 37.81, 
10:24:33.110 -> 2.00, 37.00, 1.19, 37.81, 
