Time1_[s]	Voltage_10_A_[V]	Shunt_10_A_[V]	Voltage_8.2_B_[V]	Shunt_8.2_B_[V]	Voltage_9.09_C_[V]	Shunt_9.09_C_[V]	Voltage_4.1_D_[V]	Shunt_4.1_D_[V]	Voltage_4.1_E_[V]	Shunt_4.1_E_[V]	Voltage_VarR_[V]	Shunt_VarR_[V]	Time2_[s]	T5_cold_surf_B_[degC]	T8_cold_surf_C_[degC]	T2_hot_surf_C_[degC]	T4_hot_surf_A_[degC]	T3_hot_in_TEGs_[degC]	T6_hot_surf_B_[degC]	T7_cold_surf_A_[degC]	T1_cold_in_TEGs_[degC]	Current_A_[A]	Power_A_[W]	Current_B_[A]	Power_B_[W]	Current_C_[]	Power_C_[]	Current_D_[]	Power_D_[]	Current_E_[]	Power_E_[]	Current_VarR_[]	Power_VarR_[]	DT_surf_A_K]	DT_surf_B_[]	DT_surf_C_[]
2.400	0.000013	0.00045	-0.00032	-0.00020	-0.00043	-0.00028	-0.00071	0.00016	-0.00060	0.00058	0.00165	-0.00027	2.400	4.827	5.267	45.44	49.23	51.31	47.61	3.767	2.237	0.00045	5.79e-9	0.00020	6.41e-8	0.00028	1.21e-7	0.00016	1.17e-7	0.00058	3.46e-7	0.00027	4.40e-7	45.46	42.79	40.17	
2.500	0.000017	0.00046	-0.00030	-0.00020	-0.00042	-0.00027	-0.00072	0.00017	-0.00061	0.00057	0.00164	-0.00028	2.500	4.827	5.268	45.44	49.23	51.31	47.61	3.767	2.237	0.00046	7.97e-9	0.00020	6.08e-8	0.00027	1.13e-7	0.00017	1.20e-7	0.00057	3.45e-7	0.00028	4.66e-7	45.46	42.79	40.17	
2.600	0.000014	0.00046	-0.00031	-0.00020	-0.00043	-0.00026	-0.00073	0.00017	-0.00062	0.00057	0.00163	-0.00029	2.600	4.827	5.268	45.44	49.23	51.31	47.61	3.768	2.237	0.00046	6.69e-9	0.00020	6.38e-8	0.00026	1.12e-7	0.00017	1.22e-7	0.00057	3.50e-7	0.00029	4.79e-7	45.46	42.79	40.17	
2.700	0.000010	0.00046	-0.00031	-0.00019	-0.00043	-0.00026	-0.00073	0.00018	-0.00060	0.00057	0.00163	-0.00027	2.700	4.827	5.270	45.44	49.23	51.31	47.61	3.768	2.237	0.00046	4.68e-9	0.00019	5.88e-8	0.00026	1.12e-7	0.00018	1.33e-7	0.00057	3.40e-7	0.00027	4.46e-7	45.46	42.79	40.17	
2.800	0.000030	0.00046	-0.00031	-0.00019	-0.00043	-0.00025	-0.00073	0.00018	-0.00060	0.00057	0.00163	-0.00026	2.800	4.826	5.270	45.44	49.23	51.31	47.61	3.768	2.237	0.00046	1.39e-8	0.00019	6.08e-8	0.00025	1.08e-7	0.00018	1.32e-7	0.00057	3.41e-7	0.00026	4.29e-7	45.46	42.79	40.17	
2.900	0.000023	0.00046	-0.00033	-0.00019	-0.00042	-0.00024	-0.00072	0.00016	-0.00059	0.00058	0.00165	-0.00028	2.900	4.826	5.269	45.44	49.23	51.31	47.62	3.768	2.237	0.00046	1.06e-8	0.00019	6.27e-8	0.00024	1.03e-7	0.00016	1.18e-7	0.00058	3.44e-7	0.00028	4.63e-7	45.46	42.79	40.17	
3.000	0.000024	0.00046	-0.00032	-0.00019	-0.00042	-0.00024	-0.00074	0.00018	-0.00060	0.00059	0.00165	-0.00028	3.000	4.827	5.270	45.44	49.23	51.31	47.62	3.768	2.237	0.00046	1.13e-8	0.00019	6.14e-8	0.00024	1.03e-7	0.00018	1.30e-7	0.00059	3.54e-7	0.00028	4.69e-7	45.46	42.79	40.17	
3.100	0.000036	0.00043	-0.00031	-0.00020	-0.00041	-0.00026	-0.00075	0.00017	-0.00060	0.00060	0.00165	-0.00029	3.100	4.826	5.272	45.44	49.23	51.31	47.62	3.767	2.237	0.00043	1.56e-8	0.00020	6.15e-8	0.00026	1.06e-7	0.00017	1.31e-7	0.00060	3.63e-7	0.00029	4.83e-7	45.46	42.79	40.17	
3.200	0.000029	0.00043	-0.00032	-0.00020	-0.00042	-0.00026	-0.00075	0.00016	-0.00061	0.00060	0.00164	-0.00029	3.200	4.828	5.271	45.44	49.23	51.31	47.62	3.768	2.236	0.00043	1.23e-8	0.00020	6.54e-8	0.00026	1.09e-7	0.00016	1.24e-7	0.00060	3.64e-7	0.00029	4.76e-7	45.46	42.79	40.17	
3.300	0.000023	0.00043	-0.00032	-0.00019	-0.00043	-0.00028	-0.00075	0.00016	-0.00062	0.00060	0.00164	-0.00029	3.300	4.827	5.271	45.44	49.23	51.31	47.62	3.768	2.236	0.00043	9.84e-9	0.00019	6.14e-8	0.00028	1.20e-7	0.00016	1.20e-7	0.00060	3.69e-7	0.00029	4.77e-7	45.46	42.79	40.17	
