Date Time	Sensor_3	Sensor_4	Sensor_5	Sensor_6	Sensor_9	Sensor_10
2024-02-02 11.22.39	26.82283974	41.815979	23.64116287	24.81700706	25.00387001	24.8366375
2024-02-02 11.22.59	26.87094498	41.66662598	23.70160484	24.79175949	24.96198845	24.80911255
2024-02-02 11.23.19	26.97043419	41.27349472	23.71647453	24.74132919	24.91448593	24.76059532
2024-02-02 11.23.39	26.97916412	40.85728836	23.79466629	24.69316483	24.87911606	24.73396301
2024-02-02 11.23.59	27.04034615	40.38494492	23.83729172	24.70524788	24.84698486	24.68094063
2024-02-02 11.24.19	27.08795547	39.98627853	23.85204506	24.67464066	24.83648491	24.66566849
2024-02-02 11.24.39	27.15135765	39.56433105	23.86411095	24.63792801	24.79813576	24.61008263
2024-02-02 11.24.59	27.21842194	39.14596558	23.90848351	24.5837822	24.74430275	24.59400558
2024-02-02 11.25.19	27.31501579	38.79051971	23.90934563	24.53512573	24.6957283	24.55109787
2024-02-02 11.25.39	27.34584427	38.5014534	23.93906784	24.55999374	24.69063377	24.54973412
2024-02-02 11.26.00	27.4333744	39.01449203	24.00605583	24.55299759	24.68715858	24.52233124
2024-02-02 11.26.20	27.48670006	39.34120941	24.04708481	24.53775787	24.66111755	24.47236633
2024-02-02 11.26.40	27.5350914	39.38637924	24.06596947	24.43989563	24.60974312	24.41932487
2024-02-02 11.27.00	27.58981514	39.29246902	24.0682354	24.4394722	24.60006332	24.41122246
2024-02-02 11.27.20	27.67238998	39.08160019	24.11141396	24.39610672	24.54426575	24.42468071
2024-02-02 11.27.40	27.67575073	38.7861557	24.11383629	24.38755989	24.51025581	24.39475441
2024-02-02 11.28.00	27.70717049	38.60378265	24.1208477	24.39142227	24.50406075	24.36100006
2024-02-02 11.28.20	27.7276783	38.38944244	24.1180439	24.30124283	24.49890137	24.31955719
2024-02-02 11.28.40	27.79869652	38.19803238	24.16969872	24.33977318	24.50035286	24.31394196
2024-02-02 11.29.00	27.77992821	37.97873688	24.16607857	24.29234123	24.43997002	24.29886818
2024-02-02 11.29.20	27.82321358	37.73226166	24.16513443	24.29381561	24.4524765	24.30217552
2024-02-02 11.29.40	27.87772369	37.53256607	24.2179451	24.29979515	24.41633987	24.26921654
