Time_1HZ,RPS_Cold,RPS_Hot
2023-11-07 12:56:57,5,7
2023-11-07 12:56:58,4,7
2023-11-07 12:56:59,5,7
2023-11-07 12:57:00,5,7
2023-11-07 12:57:01,4,7
2023-11-07 12:57:02,5,7
2023-11-07 12:57:03,4,7
2023-11-07 12:57:04,5,6
2023-11-07 12:57:05,5,7
2023-11-07 12:57:06,4,7
2023-11-07 12:57:07,5,7
2023-11-07 12:57:08,5,7
2023-11-07 12:57:09,4,7
2023-11-07 12:57:10,5,7
2023-11-07 12:57:11,5,7
2023-11-07 12:57:12,4,7
2023-11-07 12:57:13,5,6
2023-11-07 12:57:14,5,7
2023-11-07 12:57:15,4,7
2023-11-07 12:57:16,5,7
2023-11-07 12:57:17,5,7
2023-11-07 12:57:18,4,7
2023-11-07 12:57:19,5,7
2023-11-07 12:57:20,5,7
2023-11-07 12:57:21,4,7
2023-11-07 12:57:22,5,7
2023-11-07 12:57:23,5,6
2023-11-07 12:57:24,4,7
2023-11-07 12:57:25,5,7
2023-11-07 12:57:26,5,7
2023-11-07 12:57:27,4,7
2023-11-07 12:57:28,5,7
2023-11-07 12:57:29,5,7
2023-11-07 12:57:30,4,7
2023-11-07 12:57:31,5,7
2023-11-07 12:57:32,5,6
2023-11-07 12:57:33,5,7
2023-11-07 12:57:34,4,7
2023-11-07 12:57:35,5,7
2023-11-07 12:57:36,5,7
2023-11-07 12:57:37,4,7
2023-11-07 12:57:38,5,7
2023-11-07 12:57:39,5,7
2023-11-07 12:57:40,4,7
2023-11-07 12:57:41,5,6
2023-11-07 12:57:42,5,7
2023-11-07 12:57:43,5,7
2023-11-07 12:57:44,4,7
2023-11-07 12:57:45,5,7
2023-11-07 12:57:46,5,7
2023-11-07 12:57:47,4,7
2023-11-07 12:57:48,5,7
2023-11-07 12:57:49,5,7
2023-11-07 12:57:50,4,7
2023-11-07 12:57:51,5,6
2023-11-07 12:57:52,5,7
2023-11-07 12:57:53,5,7
2023-11-07 12:57:54,4,7
2023-11-07 12:57:55,5,7
2023-11-07 12:57:56,5,7
2023-11-07 12:57:57,4,7
2023-11-07 12:57:58,5,7
2023-11-07 12:57:59,5,7
2023-11-07 12:58:00,5,7
2023-11-07 12:58:01,4,7
2023-11-07 12:58:02,5,7
2023-11-07 12:58:03,5,7
2023-11-07 12:58:04,5,7
2023-11-07 12:58:05,4,7
2023-11-07 12:58:06,5,7
2023-11-07 12:58:07,5,7
2023-11-07 12:58:08,5,7
2023-11-07 12:58:09,4,7
2023-11-07 12:58:10,5,7
2023-11-07 12:58:11,5,7
2023-11-07 12:58:12,4,7
2023-11-07 12:58:13,5,7
2023-11-07 12:58:14,5,7
2023-11-07 12:58:15,5,7
2023-11-07 12:58:16,4,7
2023-11-07 12:58:17,5,7
2023-11-07 12:58:18,5,7
2023-11-07 12:58:19,5,7
2023-11-07 12:58:20,4,7
2023-11-07 12:58:21,5,7
2023-11-07 12:58:22,5,7
2023-11-07 12:58:23,5,8
2023-11-07 12:58:24,5,7
2023-11-07 12:58:25,4,7
2023-11-07 12:58:26,5,7
2023-11-07 12:58:27,5,7
2023-11-07 12:58:28,5,7
2023-11-07 12:58:29,4,7
2023-11-07 12:58:30,5,7
2023-11-07 12:58:31,5,8
2023-11-07 12:58:32,5,7
2023-11-07 12:58:33,5,7
2023-11-07 12:58:34,4,7
2023-11-07 12:58:35,5,7
2023-11-07 12:58:36,5,7
2023-11-07 12:58:37,5,8
2023-11-07 12:58:38,4,7
2023-11-07 12:58:39,5,7
2023-11-07 12:58:40,5,7
2023-11-07 12:58:41,5,7
