Time_1HZ, T_A[degC], T_B[degC], T_C[degC], T_D[degC]
2023-11-07 12:52:09,1.0,35.5,-1.19,37.5
2023-11-07 12:52:10,1.0,35.595,-1.19,37.595
2023-11-07 12:52:11,1.0,35.69,-1.19,37.69
2023-11-07 12:52:12,1.0,35.785,-1.19,37.815
2023-11-07 12:52:13,1.0,35.88,-1.19,37.94
2023-11-07 12:52:14,1.0,35.97,-1.19,38.035
2023-11-07 12:52:15,1.0,36.06,-1.19,38.13
2023-11-07 12:52:16,1.0,36.155,-1.155,38.22
2023-11-07 12:52:17,1.0,36.25,-1.12,38.31
2023-11-07 12:52:18,1.0,36.345,-1.12,38.435
2023-11-07 12:52:19,1.0,36.44,-1.12,38.56
2023-11-07 12:52:20,1.0,36.535,-1.12,38.655
2023-11-07 12:52:21,1.0,36.63,-1.12,38.75
2023-11-07 12:52:22,1.0,36.755,-1.12,38.845
2023-11-07 12:52:23,1.0,36.88,-1.12,38.94
2023-11-07 12:52:24,1.0,36.97,-1.12,39.065
2023-11-07 12:52:25,1.0,37.06,-1.12,39.19
2023-11-07 12:52:26,1.0,37.155,-1.12,39.285
2023-11-07 12:52:27,1.0,37.25,-1.12,39.38
2023-11-07 12:52:28,1.0,37.345,-1.12,39.505
2023-11-07 12:52:29,1.0,37.44,-1.12,39.63
2023-11-07 12:52:30,1.0,37.50333333333333,-1.12,39.690000000000005
2023-11-07 12:52:31,1.0,37.56666666666667,-1.12,39.75
2023-11-07 12:52:32,1.0,37.63,-1.12,39.81
2023-11-07 12:52:33,1.0,37.755,-1.12,39.935
2023-11-07 12:52:34,1.0,37.88,-1.12,40.06
2023-11-07 12:52:35,1.0,37.97,-1.09,40.185
2023-11-07 12:52:36,1.0,38.06,-1.06,40.31
2023-11-07 12:52:37,1.0,38.155,-1.09,40.405
2023-11-07 12:52:38,1.0,38.25,-1.12,40.5
2023-11-07 12:52:39,1.0,38.345,-1.09,40.595
2023-11-07 12:52:40,1.0,38.44,-1.06,40.69
2023-11-07 12:52:41,1.0,38.565,-1.06,40.785
2023-11-07 12:52:42,1.0,38.69,-1.06,40.88
2023-11-07 12:52:43,1.0,38.785,-1.06,41.005
2023-11-07 12:52:44,1.0,38.88,-1.06,41.13
2023-11-07 12:52:45,1.0,38.97,-1.06,41.22
2023-11-07 12:52:46,1.0,39.06,-1.06,41.31
2023-11-07 12:52:47,1.0,39.155,-1.06,41.405
2023-11-07 12:52:48,1.0,39.25,-1.06,41.5
2023-11-07 12:52:49,1.0,39.345,-1.03,41.625
2023-11-07 12:52:50,1.0,39.44,-1.0,41.75
2023-11-07 12:52:51,1.0,39.535,-1.0,41.845
2023-11-07 12:52:52,1.0,39.63,-1.0,41.94
2023-11-07 12:52:53,1.0,39.72,-1.0,42.065
2023-11-07 12:52:54,1.0,39.81,-1.0,42.19
2023-11-07 12:52:55,1.0,39.89333333333334,-0.98,42.27333333333333
2023-11-07 12:52:56,1.0,39.97666666666667,-0.96,42.35666666666666
2023-11-07 12:52:57,1.0,40.06,-0.94,42.44
2023-11-07 12:52:58,1.0,40.155,-0.94,42.565
2023-11-07 12:52:59,1.0,40.25,-0.94,42.69
2023-11-07 12:53:00,1.0,40.345,-0.94,42.785
2023-11-07 12:53:01,1.0,40.44,-0.94,42.88
2023-11-07 12:53:02,1.0,40.535,-0.94,42.97
2023-11-07 12:53:03,1.0,40.63,-0.94,43.06
2023-11-07 12:53:04,1.0,40.72,-0.94,43.185
2023-11-07 12:53:05,1.0,40.81,-0.94,43.31
2023-11-07 12:53:06,1.0,40.905,-0.9099999999999999,43.435
2023-11-07 12:53:07,1.0,41.0,-0.88,43.56
2023-11-07 12:53:08,1.0,41.095,-0.88,43.655
2023-11-07 12:53:09,1.0,41.19,-0.88,43.75
2023-11-07 12:53:10,1.0,41.285,-0.9099999999999999,43.845
2023-11-07 12:53:11,1.0,41.38,-0.94,43.94
2023-11-07 12:53:12,1.0,41.47,-0.9099999999999999,44.035
2023-11-07 12:53:13,1.0,41.56,-0.88,44.13
2023-11-07 12:53:14,1.0,41.655,-0.9099999999999999,44.22
2023-11-07 12:53:15,1.0,41.75,-0.94,44.31
2023-11-07 12:53:16,1.0,41.875,-0.9099999999999999,44.405
2023-11-07 12:53:17,1.0,42.0,-0.88,44.5
2023-11-07 12:53:18,1.0,42.06333333333333,-0.88,44.583333333333336
